Date,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5
1957-09,-0.055126,-0.058889,-0.062141,-0.053884,-0.054174
1957-10,-0.087986,-0.077001,-0.067852,-0.054384,-0.044896
1957-11,-0.005181,0.003726,0.021526,0.026519,0.028684
1957-12,-0.070578,-0.067059,-0.056766,-0.040233,-0.040622
1958-01,0.159524,0.117969,0.101698,0.082529,0.052961
1958-02,-0.026955,-0.008466,-0.017113,-0.014368,-0.015627
1958-03,0.028323,0.026132,0.029593,0.039362,0.030989
1958-04,0.039848,0.030392,0.015313,0.025492,0.029963
1958-05,0.042333,0.039651,0.042843,0.026402,0.02378
1958-06,0.044065,0.024228,0.023346,0.028172,0.024228
1958-07,0.054226,0.046567,0.063486,0.045617,0.048004
1958-08,0.03441,0.032818,0.025851,0.02494,0.010545
1958-09,0.05909,0.048899,0.047066,0.047075,0.03848
1958-10,0.030974,0.039292,0.028692,0.031935,0.026241
1958-11,0.046671,0.053662,0.02879,0.034938,0.029946
1958-12,0.033801,0.034518,0.024957,0.040741,0.041789
1959-01,0.071651,0.047836,0.040697,0.023103,0.006448
1959-02,0.02422,0.025292,0.029357,0.02746,0.012674
1959-03,0.014093,0.020563,0.00349,0.005619,0.000669
1959-04,0.018166,0.02548,0.031669,0.02994,0.023413
1959-05,0.004544,0.000891,0.005207,0.008383,0.005397
1959-06,-0.010177,0.006622,0.002613,0.003273,0.004461
1959-07,0.030005,0.031953,0.030441,0.023473,0.031426
1959-08,-0.012975,-0.023322,-0.018485,-0.020303,-0.020982
1959-09,-0.047148,-0.048778,-0.050616,-0.050633,-0.05258
1959-10,0.010136,0.032872,0.022757,0.025263,0.021782
1959-11,0.001637,0.023814,0.005073,0.018747,0.009737
1959-12,0.02091,0.019042,0.020833,0.009626,0.018115
1960-01,-0.003711,-0.039857,-0.048953,-0.055051,-0.05868
1960-02,-0.004562,0.010833,0.00272,0.011665,0.004136
1960-03,-0.03697,-0.03815,-0.029813,-0.023785,-0.013678
